Gene stable ID	Gene name	Chromosome/scaffold name
ENSMUSG00000089581	Gm23341	11
ENSMUSG00000024642	Tle4	19
ENSMUSG00000092905	Gm25735	7
ENSMUSG00000093988	Gm24861	16
ENSMUSG00000088068	U6	12
ENSMUSG00000094301	Gm24925	16
ENSMUSG00000099079	Mir7068	8
ENSMUSG00000089164	Gm24131	5
ENSMUSG00000065662	n-R5s161	6
ENSMUSG00000077317	Gm25785	18
ENSMUSG00000064596	Gm22298	2
ENSMUSG00000074991	Gabrr3	16
ENSMUSG00000096876	Gm23936	4
ENSMUSG00000070139	Mir532	X
ENSMUSG00000084689	n-R5s18	X
ENSMUSG00000096310	Gm23523	1
ENSMUSG00000024400	Wdr33	18
ENSMUSG00000099069	Mir8090	19
ENSMUSG00000096391	Gm23686	3
ENSMUSG00000065187	Gm25136	6
ENSMUSG00000096475	Snord116l1	7
ENSMUSG00000076137	Gm26384	17
ENSMUSG00000095714	Gm26467	7
ENSMUSG00000065469	Mir129-1	6
ENSMUSG00000022789	Dnm1l	16
ENSMUSG00000089564	Gm24664	15
ENSMUSG00000065516	Mir214	1
ENSMUSG00000094486	Gm23268	5
ENSMUSG00000064422	Gm22502	2
ENSMUSG00000077055	Gm24543	19
ENSMUSG00000105537	AL954388.1	2
ENSMUSG00000088906	Gm25438	12
ENSMUSG00000065279	Gm25124	4
ENSMUSG00000088222	Gm22599	11
ENSMUSG00000096342	Gm22885	16
ENSMUSG00000003665	Has1	17
ENSMUSG00000065442	Mir20a	14
ENSMUSG00000099290	Mir6985	19
ENSMUSG00000096112	Gm26269	16
ENSMUSG00000084425	Gm25104	17
ENSMUSG00000094571	Gm23551	6
ENSMUSG00000077378	Gm25169	8
ENSMUSG00000064463	Gm25079	16
ENSMUSG00000088071	Gm22818	15
ENSMUSG00000089227	Gm25051	12
ENSMUSG00000087795	Gm25965	3
ENSMUSG00000095428	Gm24418	7
ENSMUSG00000092767	Gm23364	6
ENSMUSG00000089255	Snora78	17
ENSMUSG00000094383	AC123873.1	JH584299.1
ENSMUSG00000094183	Gm22622	6
ENSMUSG00000098629	Gm27975	7
ENSMUSG00000095249	n-R5s103	8
ENSMUSG00000088412	Gm24241	10
ENSMUSG00000065792	Gm25515	10
ENSMUSG00000089128	Gm26406	X
ENSMUSG00000088798	Gm22534	11
ENSMUSG00000092887	Snord53	17
ENSMUSG00000064871	Snord58b	18
ENSMUSG00000098355	Gm27553	5
ENSMUSG00000065675	Gm24260	3
ENSMUSG00000087857	Gm22791	18
ENSMUSG00000065647	Gm25896	16
ENSMUSG00000076944	Gm22064	7
ENSMUSG00000077689	Gm22499	14
ENSMUSG00000065661	Gm22580	X
ENSMUSG00000094738	Gm26177	10
ENSMUSG00000076028	Mir669a-3	2
ENSMUSG00000024273	2700062C07Rik	18
ENSMUSG00000096061	Gm23681	11
ENSMUSG00000098443	Mir7681	1
ENSMUSG00000045027	Prss22	17
ENSMUSG00000096821	Gm24570	7
ENSMUSG00000016554	Eif3d	15
ENSMUSG00000065924	Gm22797	16
ENSMUSG00000088026	Gm22143	X
ENSMUSG00000084590	Mir1896	13
ENSMUSG00000088969	Gm22085	8
ENSMUSG00000065919	Gm24449	12
ENSMUSG00000092659	Mir3100	7
ENSMUSG00000075958	Gm23423	4
ENSMUSG00000098989	Mir7223	11
ENSMUSG00000105841	Mir3960	2
ENSMUSG00000065630	Gm24256	10
ENSMUSG00000064652	Gm24165	2
ENSMUSG00000064689	Gm25815	7
ENSMUSG00000096082	Gm24711	7
ENSMUSG00000088689	Scarna17	18
ENSMUSG00000035049	Rrp12	19
ENSMUSG00000065212	Gm26264	6
ENSMUSG00000065691	n-R5s77	10
ENSMUSG00000084611	Gm24371	4
ENSMUSG00000088255	Gm24288	8
ENSMUSG00000088738	Gm27579	4
ENSMUSG00000098351	Gm27507	1
ENSMUSG00000094283	Gm26434	7
ENSMUSG00000088579	Gm25460	1
ENSMUSG00000092693	Gm22923	16
ENSMUSG00000098849	Gm27892	X
ENSMUSG00000095828	Gm25449	7
ENSMUSG00000094516	Gm24568	8
ENSMUSG00000064527	Gm26438	18
ENSMUSG00000077971	Gm26259	13
ENSMUSG00000089320	Gm25976	15
ENSMUSG00000080365	Gm25776	12
ENSMUSG00000096190	Snord116l6	7
ENSMUSG00000065444	Mir27a	8
ENSMUSG00000076450	Mir804	11
ENSMUSG00000089169	Gm25413	1
ENSMUSG00000088608	Gm24186	10
ENSMUSG00000095422	Gm24415	15
ENSMUSG00000093322	Gm24971	12
ENSMUSG00000098733	Gm27833	16
ENSMUSG00000084520	U2	GL456216.1
ENSMUSG00000094454	Gm22624	Y
ENSMUSG00000098788	Gm27342	13
ENSMUSG00000065042	Gm24043	14
ENSMUSG00000024866	Acy3	19
ENSMUSG00000089219	Mir1963	7
ENSMUSG00000093134	Gm25996	16
ENSMUSG00000095160	Gm25548	16
ENSMUSG00000098537	Gm27867	6
ENSMUSG00000088069	Gm23250	4
ENSMUSG00000076983	Mir297a-2	2
ENSMUSG00000022390	Zc3h7b	15
ENSMUSG00000089002	Gm23855	13
ENSMUSG00000098560	Gm27530	8
ENSMUSG00000040899	Ccr6	17
ENSMUSG00000089485	Gm24734	11
ENSMUSG00000022715	Tmem114	16
ENSMUSG00000106465	Mir374c	X
ENSMUSG00000106199	Mir3967	2
ENSMUSG00000024524	Gnal	18
ENSMUSG00000084604	Gm22205	12
ENSMUSG00000077290	Gm25407	2
ENSMUSG00000096868	Gm22258	7
ENSMUSG00000076120	Mir551b	3
ENSMUSG00000094887	AC163611.2	JH584299.1
ENSMUSG00000105318	Gm44480	X
ENSMUSG00000104858	Mir136	12
ENSMUSG00000025203	Scd2	19
ENSMUSG00000087746	Gm25150	18
ENSMUSG00000099165	Mir6940	12
ENSMUSG00000046173	Pabpc6	17
ENSMUSG00000105109	Gm44297	13
ENSMUSG00000077713	Gm25728	X
ENSMUSG00000064769	Gm23518	16
ENSMUSG00000041205	Map6d1	16
ENSMUSG00000064508	n-R5s96	8
ENSMUSG00000076067	Mir592	6
ENSMUSG00000088976	Gm23759	9
ENSMUSG00000106007	Gm23128	8
ENSMUSG00000024952	Rps6ka4	19
ENSMUSG00000044982	Sft2d3	18
ENSMUSG00000099053	Gm27792	13
ENSMUSG00000077222	Gm22270	5
ENSMUSG00000094727	Btbd35f5	X
ENSMUSG00000077668	Gm26143	7
ENSMUSG00000089266	Gm22891	14
ENSMUSG00000054951	9130008F23Rik	17
ENSMUSG00000098667	Gm27585	8
ENSMUSG00000065495	Mir150	7
ENSMUSG00000022144	Gdnf	15
ENSMUSG00000089414	Gm22010	4
ENSMUSG00000064565	Gm24145	16
ENSMUSG00000079710	Gm3448	17
ENSMUSG00000077059	Gm24541	7
ENSMUSG00000093274	Gm26235	18
ENSMUSG00000105458	Mir3074-2	8
ENSMUSG00000004462	Tbccd1	16
ENSMUSG00000088404	Gm25885	X
ENSMUSG00000041974	Spidr	16
ENSMUSG00000092770	Mirlet7a-2	9
ENSMUSG00000077671	Gm24473	2
ENSMUSG00000064664	Gm24459	8
ENSMUSG00000023921	Mut	17
ENSMUSG00000077276	Gm22784	3
ENSMUSG00000098990	Gm27596	12
ENSMUSG00000105756	Gm44467	11
ENSMUSG00000094724	Rnaset2b	17
ENSMUSG00000088691	Gm22331	1
ENSMUSG00000099267	Mir6955	15
ENSMUSG00000089454	Gm24228	18
ENSMUSG00000084708	Gm22988	11
ENSMUSG00000064572	Gm25801	12
ENSMUSG00000021676	Iqgap2	13
ENSMUSG00000089337	Gm24346	5
ENSMUSG00000077851	Mir876	4
ENSMUSG00000065014	Gm23509	14
ENSMUSG00000025220	Mgea5	19
ENSMUSG00000077701	Gm24068	4
ENSMUSG00000076366	Gm24048	3
ENSMUSG00000024754	Tmem2	19
ENSMUSG00000077549	Snord71	8
ENSMUSG00000044626	Liph	16
ENSMUSG00000079707	Tcte3	17
ENSMUSG00000065162	Gm23645	11
ENSMUSG00000079024	Gm21961	15
ENSMUSG00000087997	Gm25056	3
ENSMUSG00000088104	Gm22380	9
ENSMUSG00000034820	Cpsf7	19
ENSMUSG00000090942	F830016B08Rik	18
ENSMUSG00000065787	Gm22681	1
ENSMUSG00000093060	Mir5104	10
ENSMUSG00000095623	Il11ra2	JH584294.1
ENSMUSG00000003970	Rpl8	15
ENSMUSG00000088867	Gm23071	6
ENSMUSG00000046668	Cxxc5	18
ENSMUSG00000094836	AC123873.3	JH584299.1
ENSMUSG00000098543	Gm27533	19
ENSMUSG00000065293	Gm26124	17
ENSMUSG00000067144	Slc22a7	17
ENSMUSG00000065823	n-R5s182	4
ENSMUSG00000053774	Ubxn7	16
ENSMUSG00000041378	Cldn5	16
ENSMUSG00000088183	Gm22215	17
ENSMUSG00000067942	Zfp160	17
ENSMUSG00000098635	Gm27741	10
ENSMUSG00000047189	Gm9818	17
ENSMUSG00000077734	Snord83b	15
ENSMUSG00000088391	Gm26310	6
ENSMUSG00000094170	Gm21170	Y
ENSMUSG00000022780	Meltf	16
ENSMUSG00000043782	Bicdl2	17
ENSMUSG00000072082	Ccnf	17
ENSMUSG00000095720	Gm1604b	17
ENSMUSG00000074219	Gm10644	8
ENSMUSG00000016942	Tmprss6	15
ENSMUSG00000061802	Armc4	18
ENSMUSG00000079600	Gm17604	X
ENSMUSG00000024386	Proc	18
ENSMUSG00000095092	AC125149.5	GL456210.1
ENSMUSG00000091041	Gm17720	8
ENSMUSG00000094372	Gm21839	5
ENSMUSG00000074913	Gm815	19
ENSMUSG00000071562	Stfa1	16
ENSMUSG00000041247	Lamp3	16
ENSMUSG00000010663	Fads1	19
ENSMUSG00000024165	Jpt2	17
ENSMUSG00000013846	St3gal1	15
ENSMUSG00000063434	Sorcs3	19
ENSMUSG00000035342	Lzts2	19
ENSMUSG00000024427	Spry4	18
ENSMUSG00000022554	Hgh1	15
ENSMUSG00000002372	Ranbp3	17
ENSMUSG00000024697	Gna14	19
ENSMUSG00000091306	Gm17606	14
ENSMUSG00000024404	Riok3	18
ENSMUSG00000025429	Pstpip2	18
ENSMUSG00000041653	Pnpla3	15
ENSMUSG00000025035	Arl3	19
ENSMUSG00000024381	Bin1	18
ENSMUSG00000024887	Asah2	19
ENSMUSG00000035765	Dym	18
ENSMUSG00000024896	Minpp1	19
ENSMUSG00000095558	Btbd35f9	X
ENSMUSG00000055271	9330161L09Rik	12
ENSMUSG00000072673	Gm10392	11
ENSMUSG00000023935	Spats1	17
ENSMUSG00000071860	2900055J20Rik	18
ENSMUSG00000096728	AC140325.4	GL456354.1
ENSMUSG00000044933	Sstr3	15
ENSMUSG00000047531	Rtp2	16
ENSMUSG00000051255	Gm6563	19
ENSMUSG00000055771	Gm7936	18
ENSMUSG00000079010	Gm11032	11
ENSMUSG00000032191	Bcl2l10	9
ENSMUSG00000079242	C730034F03Rik	15
ENSMUSG00000097854	Gm26602	10
ENSMUSG00000074232	Gm10647	9
ENSMUSG00000095779	Gm2163	4
ENSMUSG00000064666	Snora52	7
ENSMUSG00000095266	Gm5225	17
ENSMUSG00000094147	Gm21616	X
ENSMUSG00000064567	Gm24143	11
ENSMUSG00000071867	Gm6304	18
ENSMUSG00000078091	Gm10912	2
ENSMUSG00000088640	Gm26482	7
ENSMUSG00000045104	Gm5514	19
ENSMUSG00000007670	Khsrp	17
ENSMUSG00000077224	Gm23437	14
ENSMUSG00000093168	Gm22990	11
ENSMUSG00000094702	Gm24485	10
ENSMUSG00000002274	Metrn	17
ENSMUSG00000095500	AC132444.5	GL456221.1
ENSMUSG00000077367	Gm23483	16
ENSMUSG00000069324	Gm5096	18
ENSMUSG00000106670	Gm44347	8
ENSMUSG00000023988	Bysl	17
ENSMUSG00000098608	Mir6981	18
ENSMUSG00000099299	Gm27722	12
ENSMUSG00000071671	Gm10343	16
ENSMUSG00000048720	Tbc1d12	19
ENSMUSG00000065791	Gm25516	2
ENSMUSG00000064515	n-R5s162	6
ENSMUSG00000095224	F930015N05Rik	11
ENSMUSG00000065782	Gm22680	19
ENSMUSG00000089094	Gm25659	19
ENSMUSG00000097221	1810049J17Rik	15
ENSMUSG00000065173	Gm22127	11
ENSMUSG00000094310	Gm23243	5
ENSMUSG00000088500	Gm24419	4
ENSMUSG00000090317	Gm17324	9
ENSMUSG00000087858	Gm22795	3
ENSMUSG00000022516	Nudt16l1	16
ENSMUSG00000084601	Gm23111	17
ENSMUSG00000089184	Gm22947	11
ENSMUSG00000088653	Gm24851	3
ENSMUSG00000034022	Cpsf1	15
ENSMUSG00000095891	Gm10717	9
ENSMUSG00000024491	Rbm27	18
ENSMUSG00000065778	Gm22154	4
ENSMUSG00000088477	Gm23082	X
ENSMUSG00000077127	Mir743	X
ENSMUSG00000088684	Gm23994	16
ENSMUSG00000098344	Mir3473f	1
ENSMUSG00000080401	Gm23653	9
ENSMUSG00000093258	Gm22929	5
ENSMUSG00000093932	Gm25525	5
ENSMUSG00000089619	Gm23777	10
ENSMUSG00000088371	Gm25180	1
ENSMUSG00000064400	Gm23927	19
ENSMUSG00000088722	Gm22211	7
ENSMUSG00000093230	Gm24109	3
ENSMUSG00000089179	Gm22428	8
ENSMUSG00000024758	Rtn3	19
ENSMUSG00000094083	Gm1604a	17
ENSMUSG00000077716	Gm25725	7
ENSMUSG00000095570	AC140325.3	GL456354.1
ENSMUSG00000024194	Cuta	17
ENSMUSG00000077178	Gm25756	5
ENSMUSG00000099060	Mir7025	5
ENSMUSG00000092806	Gm26463	5
ENSMUSG00000088161	Gm23537	1
ENSMUSG00000098498	Mir8099-1	3
ENSMUSG00000080666	Gm25000	13
ENSMUSG00000098628	Gm27976	12
ENSMUSG00000065538	Mir153	12
ENSMUSG00000077001	Mir544	12
ENSMUSG00000078324	Btbd35f14	X
ENSMUSG00000084462	n-R5s154	7
ENSMUSG00000098487	Mir6899	1
ENSMUSG00000065416	Mir19a	14
ENSMUSG00000106479	Mir721	5
ENSMUSG00000089458	Gm24221	2
ENSMUSG00000098881	Mir6927	11
ENSMUSG00000077447	Gm23129	15
ENSMUSG00000093916	Gm379	X
ENSMUSG00000065372	Gm22741	16
ENSMUSG00000098996	Mir7676-1	15
ENSMUSG00000053559	Smagp	15
ENSMUSG00000079016	Gm11034	8
ENSMUSG00000076128	Mir686	14
ENSMUSG00000105142	Mir7214	17
ENSMUSG00000065549	Mir200b	4
ENSMUSG00000077368	Gm26273	1
ENSMUSG00000087737	Gm24647	15
ENSMUSG00000036501	Fam13b	18
ENSMUSG00000092917	Mir3472	X
ENSMUSG00000001076	C1ql4	15
ENSMUSG00000077138	Gm23577	7
ENSMUSG00000089158	Gm23583	1
ENSMUSG00000077403	Gm25419	4
ENSMUSG00000077872	Mir878	X
ENSMUSG00000088211	Gm22083	X
ENSMUSG00000056350	Krtap13-1	16
ENSMUSG00000095361	Gm24967	4
ENSMUSG00000095590	Gm24305	12
ENSMUSG00000096648	Gm24027	7
ENSMUSG00000070150	n-R5s152	7
ENSMUSG00000022142	Nup155	15
ENSMUSG00000065869	Gm24917	11
ENSMUSG00000104552	AC157602.1	15
ENSMUSG00000087836	Gm23956	15
ENSMUSG00000054957	Gm9959	17
ENSMUSG00000096186	Gm23306	16
ENSMUSG00000096133	Gm25145	3
ENSMUSG00000064485	Gm23735	14
ENSMUSG00000094771	Gm23860	4
ENSMUSG00000099186	Gm27878	4
ENSMUSG00000000552	Zfp385a	15
ENSMUSG00000089293	Gm23210	16
ENSMUSG00000077561	Gm24607	4
ENSMUSG00000064693	Gm24150	3
ENSMUSG00000024912	Fosl1	19
ENSMUSG00000098765	Mir7685	2
ENSMUSG00000070108	Mir500	X
ENSMUSG00000092952	Mir3059	10
ENSMUSG00000093830	Gm23145	7
ENSMUSG00000088444	Gm22187	2
ENSMUSG00000065236	n-R5s197	3
ENSMUSG00000065269	Gm23456	6
ENSMUSG00000094537	n-R5s106	8
ENSMUSG00000098521	Mir7243	9
ENSMUSG00000065396	Mir99b	17
ENSMUSG00000077174	Gm25757	3
ENSMUSG00000064923	Gm22042	4
ENSMUSG00000065491	Mir7b	17
ENSMUSG00000098742	Gm27476	19
ENSMUSG00000023025	Larp4	15
ENSMUSG00000088536	Gm23278	14
ENSMUSG00000088132	Gm22586	8
ENSMUSG00000088298	Gm26415	X
ENSMUSG00000098282	Mir6936	11
ENSMUSG00000064830	Gm25699	16
ENSMUSG00000098499	Mir6975	17
ENSMUSG00000092913	Gm24085	17
ENSMUSG00000088637	Gm22316	2
ENSMUSG00000093180	Gm25690	4
ENSMUSG00000074210	E130208F15Rik	7
ENSMUSG00000106608	Mir466b-1	2
ENSMUSG00000096043	Gm24968	16
ENSMUSG00000064707	Gm22507	10
ENSMUSG00000098775	Gm27435	17
ENSMUSG00000095729	Gm23649	17
ENSMUSG00000034379	Wdr5b	16
ENSMUSG00000092896	Gm23811	9
ENSMUSG00000049427	Gm9837	11
ENSMUSG00000090291	Lrrc10b	19
ENSMUSG00000089271	Gm24552	7
ENSMUSG00000098356	Gm27552	1
ENSMUSG00000105167	Snord43	15
ENSMUSG00000089109	Gm23916	16
ENSMUSG00000077454	Gm25918	5
ENSMUSG00000046145	1700018M17Rik	4
ENSMUSG00000097169	Gm26661	14
ENSMUSG00000089182	Gm22945	10
ENSMUSG00000089131	Gm24769	13
ENSMUSG00000088675	Rprl1	6
ENSMUSG00000084603	Gm22204	8
ENSMUSG00000066809	Gm10180	9
ENSMUSG00000051439	Cd14	18
ENSMUSG00000092643	Gm23562	15
ENSMUSG00000105465	Gm44325	2
ENSMUSG00000089371	Mir1938	12
ENSMUSG00000024696	Lpxn	19
ENSMUSG00000065298	Gm26121	11
ENSMUSG00000099017	Mir7058	7
ENSMUSG00000089281	Scarna6	1
ENSMUSG00000064775	Gm25205	6
ENSMUSG00000092724	Gm25677	4
ENSMUSG00000098258	Mir6369	13
ENSMUSG00000064972	Gm26055	12
ENSMUSG00000035258	Abi3bp	16
ENSMUSG00000099183	Gm27881	1
ENSMUSG00000077360	Gm23482	13
ENSMUSG00000092761	Mir5120	4
ENSMUSG00000095772	Gm23017	9
ENSMUSG00000095798	Gm26298	9
ENSMUSG00000089389	Gm24682	5
ENSMUSG00000093929	Gm23862	7
ENSMUSG00000030775	Trat1	16
ENSMUSG00000068604	Gm8225	17
ENSMUSG00000098271	Gm27828	X
ENSMUSG00000088021	Gm22145	9
ENSMUSG00000096314	Gm23521	7
ENSMUSG00000088218	Gm22078	3
ENSMUSG00000096621	Gm5849	3
ENSMUSG00000093981	Gm24862	7
ENSMUSG00000095234	Gm21586	4
ENSMUSG00000065178	Gm22126	13
ENSMUSG00000075952	Gm23422	1
ENSMUSG00000094550	Gm22393	7
ENSMUSG00000088591	Gm23964	17
ENSMUSG00000098249	Gm27330	1
ENSMUSG00000064600	Gm25636	7
ENSMUSG00000105165	Mir7686	7
ENSMUSG00000094754	Gm25020	13
ENSMUSG00000095122	Gm23215	16
ENSMUSG00000052426	Gm9877	10
ENSMUSG00000088739	Gm23891	3
ENSMUSG00000065433	Mir370	12
ENSMUSG00000098409	Gm27410	10
ENSMUSG00000064928	Gm22045	15
ENSMUSG00000001473	Tubb6	18
ENSMUSG00000077260	Gm24869	4
ENSMUSG00000065808	Gm23037	17
ENSMUSG00000077750	Gm23529	12
ENSMUSG00000098580	Mir7023	4
ENSMUSG00000105468	Mir6906	10
ENSMUSG00000098586	Gm27775	17
ENSMUSG00000062400	Krtap6-5	16
ENSMUSG00000064833	Gm25926	12
ENSMUSG00000093793	Gm24091	4
ENSMUSG00000077562	Gm23203	17
ENSMUSG00000092639	Mir3964	15
ENSMUSG00000098755	Gm27651	2
ENSMUSG00000065245	Gm22295	3
ENSMUSG00000098269	Mir8094	17
ENSMUSG00000096432	Gm22132	1
ENSMUSG00000098938	Mir6393	15
ENSMUSG00000075229	Ccdc58	16
ENSMUSG00000104989	Gm44481	1
ENSMUSG00000077172	Gm25762	16
ENSMUSG00000098483	Mir7078	8
ENSMUSG00000010830	Kdelr3	15
ENSMUSG00000065773	Rnu1b6	3
ENSMUSG00000098972	Mir8093	2
ENSMUSG00000096027	Mir467a-2	2
ENSMUSG00000093138	Gm25998	2
ENSMUSG00000088849	Gm26353	6
ENSMUSG00000089585	Gm23338	4
ENSMUSG00000033863	Klf9	19
ENSMUSG00000088373	Mir1956	3
ENSMUSG00000064797	Gm24357	9
ENSMUSG00000105333	Mir684-2	4
ENSMUSG00000088839	Gm27510	X
ENSMUSG00000093007	Mir15a	14
ENSMUSG00000088358	Gm24008	6
ENSMUSG00000093042	Mir3109	9
ENSMUSG00000064768	Snord60	17
ENSMUSG00000088873	Gm25864	14
ENSMUSG00000098267	Mir7060	7
ENSMUSG00000093943	Gm22834	7
ENSMUSG00000096779	Gm22112	1
ENSMUSG00000098722	Gm27331	15
ENSMUSG00000080476	Gm25316	2
ENSMUSG00000076379	Mir190a	9
ENSMUSG00000065429	Mir345	12
ENSMUSG00000089168	Gm24128	15
ENSMUSG00000050370	Ch25h	19
ENSMUSG00000080485	Gm23493	16
ENSMUSG00000095389	Gm23953	7
ENSMUSG00000073809	Gm10583	4
ENSMUSG00000089019	Gm25522	10
ENSMUSG00000065715	Snord7	11
ENSMUSG00000035051	Dhx57	17
ENSMUSG00000022332	Khdrbs3	15
ENSMUSG00000096604	Gm26201	7
ENSMUSG00000105424	Gm44304	17
ENSMUSG00000065904	Gm26109	18
ENSMUSG00000076062	Mir92-1	14
ENSMUSG00000089467	Gm23700	7
ENSMUSG00000066475	Gm10268	18
ENSMUSG00000092641	Gm23563	11
ENSMUSG00000096140	Ankrd66	17
ENSMUSG00000087786	Gm23173	5
ENSMUSG00000096889	Gm23571	2
ENSMUSG00000050783	Htr1f	16
ENSMUSG00000099292	Mir6916	10
ENSMUSG00000089387	Gm24679	18
ENSMUSG00000105778	Mir7229	5
ENSMUSG00000088582	Gm22966	1
ENSMUSG00000065484	Mir130a	2
ENSMUSG00000077155	Gm24582	11
ENSMUSG00000043982	Krtap19-4	16
ENSMUSG00000084659	Gm22720	9
ENSMUSG00000071497	Nutf2-ps1	19
ENSMUSG00000095086	Gm25327	6
ENSMUSG00000098319	Mir7038	5
ENSMUSG00000076231	Gm22759	2
ENSMUSG00000094274	Snord116l12	7
ENSMUSG00000076355	Gm27509	9
ENSMUSG00000064514	Gm22455	9
ENSMUSG00000023971	Rrp36	17
ENSMUSG00000088629	Gm23030	8
ENSMUSG00000093128	Gm24369	14
ENSMUSG00000084749	Gm25288	1
ENSMUSG00000096244	AC102264.1	GL456219.1
ENSMUSG00000098320	Vis1	2
ENSMUSG00000095346	Gm21905	5
ENSMUSG00000095256	n-R5s209	1
ENSMUSG00000065581	Mir194-1	1
ENSMUSG00000076232	Gm22760	11
ENSMUSG00000073184	Gm10479	12
ENSMUSG00000089209	Gm26215	6
ENSMUSG00000068083	Cyp2d40	15
ENSMUSG00000065500	Mir10b	2
ENSMUSG00000095759	Gm21828	Y
ENSMUSG00000024553	Galr1	18
ENSMUSG00000098957	Mir8105	10
ENSMUSG00000088641	Gm26483	8
ENSMUSG00000096406	Rn5s	8
ENSMUSG00000096559	Gm23567	9
ENSMUSG00000080345	Gm24586	1
ENSMUSG00000098623	Mir8112	6
ENSMUSG00000091743	Gm5705	1
ENSMUSG00000077733	Gm23608	2
ENSMUSG00000099293	Mir6366	16
ENSMUSG00000065825	Gm26314	X
ENSMUSG00000096631	Gm22171	7
ENSMUSG00000084701	n-R5s87	9
ENSMUSG00000095678	Gm25101	15
ENSMUSG00000077421	Gm24283	8
ENSMUSG00000074737	C530025M09Rik	2
ENSMUSG00000089482	Gm24741	12
ENSMUSG00000076281	Gm24270	9
ENSMUSG00000089027	Gm25013	3
ENSMUSG00000096288	Gm22251	18
ENSMUSG00000094883	Gm25121	7
ENSMUSG00000049382	Krt8	15
ENSMUSG00000092652	Mir3104	7
ENSMUSG00000096425	Gm24979	17
ENSMUSG00000084588	n-R5s68	11
ENSMUSG00000095782	Mir465c-1	X
ENSMUSG00000088693	Gm22330	13
ENSMUSG00000024683	Mrpl16	19
ENSMUSG00000104794	Mir28c	15
ENSMUSG00000099024	Gm27457	18
ENSMUSG00000098652	Gm27671	16
ENSMUSG00000106145	Mir7073	8
ENSMUSG00000088252	Snord13	8
ENSMUSG00000065371	Gm22739	10
ENSMUSG00000089460	Gm23699	11
ENSMUSG00000098416	Mir7117	15
ENSMUSG00000077398	Gm24334	12
ENSMUSG00000098307	Gm27460	3
ENSMUSG00000092660	Gm22403	2
ENSMUSG00000093003	Mir3473c	1
ENSMUSG00000077535	Gm22543	16
ENSMUSG00000088672	Gm23664	10
ENSMUSG00000088857	Gm24726	10
ENSMUSG00000065586	Mir96	6
ENSMUSG00000089289	Gm26021	6
ENSMUSG00000095010	Gm23490	7
ENSMUSG00000095169	Gm25546	15
ENSMUSG00000076118	Mir669c	2
ENSMUSG00000084740	Gm25294	1
ENSMUSG00000089431	Gm23196	3
ENSMUSG00000078953	Gm11020	8
ENSMUSG00000105927	Gm44457	2
ENSMUSG00000076119	Mir698	4
ENSMUSG00000087925	Gm23232	9
ENSMUSG00000095892	Rnu5g	9
ENSMUSG00000077413	Gm23389	1
ENSMUSG00000065732	Gm24492	17
ENSMUSG00000064584	Gm25130	14
ENSMUSG00000065619	Mir183	6
ENSMUSG00000092656	Gm25239	8
ENSMUSG00000003206	Ebi3	17
ENSMUSG00000098736	Gm27838	X
ENSMUSG00000065395	Mir193a	11
ENSMUSG00000077526	Gm25379	8
ENSMUSG00000052504	Epha3	16
ENSMUSG00000088377	Gm25183	15
ENSMUSG00000098531	Mir7041	6
ENSMUSG00000079222	AC132444.1	GL456221.1
ENSMUSG00000077954	Mir297a-4	2
ENSMUSG00000105098	AC099760.1	8
ENSMUSG00000065227	Gm25790	7
ENSMUSG00000080519	Gm22194	10
ENSMUSG00000064489	Gm23296	12
ENSMUSG00000098380	Mir6939	12
ENSMUSG00000065492	Mir34b	9
ENSMUSG00000038541	Srd5a2	17
ENSMUSG00000065415	Mir217	11
ENSMUSG00000065644	Gm25859	2
ENSMUSG00000077745	Gm26342	1
ENSMUSG00000088930	Gm25921	17
ENSMUSG00000093599	Mir5620	7
ENSMUSG00000089621	Gm25445	4
ENSMUSG00000088947	Gm23257	4
ENSMUSG00000087892	Gm25278	8
ENSMUSG00000077262	n-R5s165	6
ENSMUSG00000087835	Gm24481	3
ENSMUSG00000078042	Gm24855	6
ENSMUSG00000104884	Mir5046	19
ENSMUSG00000092696	Mir5133	9
ENSMUSG00000088113	Mir1960	5
ENSMUSG00000088743	Gm23221	9
ENSMUSG00000088286	Gm23590	15
ENSMUSG00000088811	Gm22381	11
ENSMUSG00000025209	Twnk	19
ENSMUSG00000088419	Gm24236	8
ENSMUSG00000094889	Gm25119	17
ENSMUSG00000024097	Srsf7	17
ENSMUSG00000004843	Chmp2b	16
ENSMUSG00000088314	Gm26186	4
ENSMUSG00000095697	Mir683-1	13
ENSMUSG00000094718	Gm22825	8
ENSMUSG00000096848	Gm23379	3
ENSMUSG00000077614	Gm25500	9
ENSMUSG00000077786	Gm23909	14
ENSMUSG00000088864	Gm23068	X
ENSMUSG00000077214	Gm23950	4
ENSMUSG00000077663	Gm26144	4
ENSMUSG00000087853	Gm22794	10
ENSMUSG00000089382	Gm24675	X
ENSMUSG00000098298	Gm27970	19
ENSMUSG00000088890	Gm22517	2
ENSMUSG00000093922	Rpl36-ps4	17
ENSMUSG00000084536	Gm25844	4
ENSMUSG00000098671	Mir7075	8
ENSMUSG00000064553	Gm24622	X
ENSMUSG00000077593	Gm26014	18
ENSMUSG00000089501	Gm23479	7
ENSMUSG00000039457	Ppl	16
ENSMUSG00000084512	Gm22482	19
ENSMUSG00000024806	Mlana	19
ENSMUSG00000098850	Gm27390	1
ENSMUSG00000089009	Gm23858	2
